timestamp,st_id,temp_c,hum_pct,wind_speed
2024-03-07 12:00:00,2,13.8,59.8,9.3
2024-07-17 15:00:00,8,27.4,33.0,1.1
2024-11-15 02:00:00,15,28.3,34.3,4.4
2024-04-16 16:00:00,2,31.8,47.2,2.7
2024-08-21 07:00:00,3,32.4,66.2,2.5
2024-06-06 08:00:00,2,29.8,44.3,9.5
2024-04-09 11:00:00,6,14.6,41.1,5.2
2024-06-14 14:00:00,5,25.5,55.6,17.5
2024-12-14 01:00:00,12,9.6,51.9,11.9
2024-02-27 11:00:00,12,22.1,61.9,14.7
2024-01-12 10:00:00,8,29.7,66.1,10.5
2024-06-04 10:00:00,14,30.5,58.5,9.5
2024-09-05 21:00:00,14,27.6,52.0,31.0
2024-01-27 11:00:00,10,36.1,65.7,16.0
2024-08-11 06:00:00,12,4.0,51.0,4.5
2024-12-26 02:00:00,9,17.3,33.1,10.6
2024-11-05 08:00:00,10,34.6,38.7,8.2
2024-03-24 03:00:00,7,20.0,63.1,10.7
2024-09-09 14:00:00,10,39.0,52.3,11.6
2024-06-09 19:00:00,2,14.9,51.1,0.7
2024-01-05 06:00:00,12,7.3,63.4,15.3
2024-12-06 07:00:00,1,11.7,76.7,0.4
2024-11-12 02:00:00,2,33.1,85.1,1.7
2024-08-19 02:00:00,2,26.0,96.4,20.4
2024-11-08 14:00:00,15,28.4,25.9,7.3
2024-08-12 07:00:00,14,11.7,83.4,6.4
2024-07-24 05:00:00,12,23.3,53.3,25.2
2024-02-15 15:00:00,13,23.3,48.1,19.2
2024-07-07 00:00:00,5,27.2,32.6,2.9
2024-07-14 12:00:00,13,33.7,43.6,4.6
2024-01-16 11:00:00,10,22.1,19.9,6.4
2024-07-22 05:00:00,9,23.2,47.4,17.2
2024-02-07 07:00:00,14,21.5,44.6,21.8
2024-08-19 21:00:00,5,37.1,44.4,4.7
2024-06-05 08:00:00,7,25.9,74.4,9.2
2024-09-12 02:00:00,14,22.4,45.7,8.8
2024-11-24 08:00:00,2,26.0,22.4,36.0
2024-05-06 19:00:00,7,31.3,69.5,8.1
2024-06-12 15:00:00,10,6.2,40.9,12.8
2024-03-22 10:00:00,12,25.9,50.4,8.2
2024-07-01 06:00:00,5,38.3,53.0,3.5
2024-12-19 14:00:00,11,21.1,69.5,25.1
2024-05-21 21:00:00,14,24.8,68.7,26.8
2024-02-14 06:00:00,1,12.0,37.6,11.1
2024-11-20 20:00:00,10,23.4,48.2,14.2
2024-05-10 05:00:00,11,24.0,44.8,20.4
2024-04-06 03:00:00,3,8.4,39.0,13.1
2024-05-20 08:00:00,10,21.9,40.3,33.9
2024-01-05 04:00:00,7,6.7,42.7,2.4
2024-01-20 17:00:00,15,21.9,68.2,11.8
2024-02-02 11:00:00,15,33.4,46.6,0.3
2024-10-17 08:00:00,10,23.2,58.5,6.5
2024-06-23 21:00:00,7,21.4,66.1,2.7
2024-04-10 17:00:00,13,22.5,53.2,16.2
2024-05-19 14:00:00,7,24.0,55.3,11.7
2024-01-02 11:00:00,6,6.2,62.4,0.8
2024-08-07 22:00:00,7,10.7,53.2,3.6
2024-09-10 12:00:00,6,15.3,34.6,5.0
2024-02-18 15:00:00,8,33.4,67.4,12.6
2024-06-11 17:00:00,10,25.3,66.1,0.4
2024-08-09 05:00:00,6,30.5,59.2,8.0
